,0
30,No topics found
31,No topics found
32,"[(1, 'queue, documental, jóvenes, cómo, historia, imagen, mundo, santiago, pueden, proteger'), (2, 'ser, cuenta, rico, isla, daisy, 2012, fogel, vida, netflix, policiales'), (3, 'guerra, eeuu, puerto, años, audrie, legal, 2018, política, activista, bien'), (4, 'redes, sociales, si, puertorriqueños, usuario, actualizado, maría, favor, caseros, sexuales'), (5, 'instant, dos, datos, sonia, película, 000, entrevistas, sigue, información, documentos')]"
33,No topics found
34,"[(1, 'gonzález, derechos, gobierno, diciembre, acto, transformación, relaciones, universidad, claudia, cuauhtémoc'), (2, '12, méxico, carta, profesional, nuevo, obras, chino, 2017, sólo, contractuales'), (3, 'jornada, salarios, luis, china, coapa, aviso, barrio, 2016, metro, san'), (4, 'medios, radio, ciudad, lópez, smg, ombudsman, horas, conferencia, ampliación, sheinbaum'), (5, 'metrobús, general, línea, mínimos, ley, vecinos, metropolitana, tres, altos, colonia')]"
35,No topics found
36,No topics found
37,"[(1, 'derechos, mostrador, marcelo, corbeaux, arturo, pueblo, así, recursos, grimaldi, muchas'), (2, 'envíada, 2016, región, camaradas, pequeño, ex, álamos, luego, frente, logramos'), (3, '13, lugar, varela, puchuncaví, finalmente, tiempo, alguna, incertidumbre, allí, piezas'), (4, 'campo, años, opinión, personas, diversos, tan, etc, valparaíso, dictadura, ello'), (5, 'diciembre, 2018, reservados, zuñiga, tatiana, prisioneros, gente, memoria, grupo, verdadera')]"
38,"[(1, 'petatlán, ad, ciudad, policías, mayo, años, información, div, azul, peña'), (2, 'seguridad, jornada, chapo, pública, amado, armados, familiares, público, miles, cárteles'), (3, 'guerra, juárez, fuentes, asesinado, proceso, violencia, cártel, dijo, así, loadad'), (4, 'carrillo, insticator, pues, dos, acapulco, aspirante, autoridades, comunitarios, hermano, secretaría'), (5, 'méxico, grupos, grupo, presidencial, astudillo, alianza, dialogar, 2018, sierra, entonces')]"
39,No topics found
40,No topics found
41,No topics found
42,No topics found
43,"[(1, 'gobierno, méxico, duarte, prisión, público, libertad, exsecretario, cuitláhuac, pública, ley'), (2, 'pues, si, pesos, exdirector, deber, días, abuso, prensa, presidencial, hombres'), (3, 'justicia, arturo, ciudad, seguridad, así, ser, desaparecidos, familiares, además, influencias'), (4, 'bermúdez, jornada, caso, proceso, dos, legal, ad, javier, ahora, desaparición'), (5, 'veracruz, insticator, garcía, teléfono, liberación, nuevo, mil, mientras, colonia, aspirante')]"
44,"[(1, 'si, américa, final, ahora, además, dólares, eeuu, fuentes, unidos, 12'), (2, 'actions, dos, cartel, goles, méxico, david, minutos, ademar, tras, mexicanos'), (3, 'children, beriain, guadalajara, azul, primera, después, entrega, público, partir, título'), (4, 'armas, comment, sinaloa, dmax, vuelta, clandestino, hombres, muerte, hace, cinco'), (5, 'ser, cruz, defensa, sólo, carrillo, mil, jornada, bien, aquí, local')]"
45,No topics found
46,No topics found
47,No topics found
48,"[(1, 'children, puma, dmax, dólares, eeuu, día, uso, millones, pasado, droga'), (2, 'beriain, montaña, dos, aquí, zona, sinaloa, hace, ser, plomosas, además'), (3, 'contenidos, cartel, mujer, mil, noche, unidos, medio, entrega, años, comunidad'), (4, 'actions, público, derecho, animal, tráfico, comentarios, tras, domicilio, bien, nacional'), (5, 'armas, comment, si, pumas, sólo, david, ahora, clandestino, aunque, sabe')]"
49,No topics found
50,No topics found
51,No topics found
52,"[(1, 'baja, derechos, guerrero, hombre, dispararon, salto, martes, tlajomulco, puerto, mil'), (2, 'medios, radio, mujer, reportaron, parecer, víctimas, página, nederland, the, éric'), (3, 'veracruz, armados, mientras, zúñiga, carta, formarían, 011817321500, adelantó, gara, siguenos'), (4, 'dos, colonia, lunes, homicidios, municipio, zacatecas, noche, publicidad, san, autor'), (5, 'jornada, hombres, california, aviso, rostro, herida, calle, 2019, 04, lópez')]"
53,No topics found
54,No topics found
55,No topics found
56,No topics found
57,No topics found
58,No topics found
59,No topics found
60,"[(1, '2018, gente, periodistas, procesión, través, vida, murat, así, pasado, queda'), (2, 'película, cuarón, historia, información, público, lugar, primera, proceso, años, ahora'), (3, 'insticator, malas, aparece, barrio, cine, casa, zona, sino, aviones, olor'), (4, 'méxico, ciudad, roma, ad, solo, mundo, presidencial, loadad, div, infancia'), (5, 'oaxaca, gobierno, hernández, nueva, escenas, aspirante, sociales, colonia, ver, director')]"
61,No topics found
62,No topics found
63,No topics found
64,No topics found
65,No topics found
66,No topics found
67,No topics found
68,"[(1, 'ciudad, medidas, articulación, enrique, demasiado, fresas, explanadas, ahora, quedado, cnc'), (2, 'avg, insticator, pues, género, entidades, incluso, caso, col, así, cumplimiento'), (3, 'méxico, ad, proceso, aspirante, voluntad, prácticas, desastre, campesina, conocidas, ponen'), (4, 'mujeres, violencia, política, presidencial, materia, estudio, ciudadana, 2000, afirma, candidato'), (5, 'colima, organizaciones, declaratoria, necesario, flores, auditorios, cortas, candidatos, presidencia, heredado')]"
69,"[(1, 'armas, children, aquí, solo, unidos, cómo, cuenta, medio, jornada, mes'), (2, 'game, si, parte, vez, dólares, sólo, historia, cabrea, mute, sleep'), (3, 'actions, temporada, comment, final, aunque, noche, sinaloa, octava, cachopo, personajes'), (4, 'thrones, dmax, david, entrega, jon, serie, ser, día, cada, tráfico'), (5, 'of, beriain, cartel, dos, hbo, eeuu, mil, derecho, clandestino, palabras')]"
70,No topics found
71,No topics found
72,No topics found
73,No topics found
74,"[(1, '2018, queda, retransmisión, publicación, seguridad, mil, transporte, robo, público, acción'), (2, 'ir, policía, delictiva, acuerdo, agrupamiento, ser, mientras, pasajeros, cámaras, brugada'), (3, 'previa, uso, contenidos, reservados, compañía, periodística, autorización, portada, 2015, años'), (4, 'nacional, universal, derechos, alcaldía, mayor, elementos, méxico, dinero, lado, reforzar'), (5, 'existir, 2000, expresamente, prohibida, edición, cualquier, rutas, iztapalapa, ciudad, va')]"
75,No topics found
76,"[(1, 'basílica, colectiva, 2018, policías, joven, familia, izcalli, cuautitlán, público, tecnológico'), (2, 'derechos, estudiantes, pasado, querétaro, autopista, patrulla, 55, desaparecido, altura, abraham'), (3, 'mañanitas, cantan, virgen, cultura, reservados, fernando, diciembre, amigo, lunes, ofrenda'), (4, 'detenido, varios, montaron, méxico, instituto, puso, murió, tlalnepantla, galeras, carretera'), (5, 'alan, justicia, cuerpo, exigieron, familiares, compañero, encontrado, horas, foto, especial')]"
77,No topics found
78,No topics found
79,No topics found
80,No topics found
81,No topics found
82,No topics found
83,No topics found
84,No topics found
85,No topics found
86,No topics found
87,No topics found
88,"[(1, 'derechos, 2018, pues, general, 2017, reservados, página, oriente, veracruz, organizaciones'), (2, 'jornada, salarios, ciudad, mujeres, desarrollo, caso, gara, maior, género, medidas'), (3, 'luis, colima, 04, gobierno, así, the, nederland, bilingüe, 011817321500, autor'), (4, 'méxico, 12, avg, insticator, 203, zacatecas, demos, asociados, línea, profesional'), (5, 'medios, radio, san, violencia, carta, metrobús, independent, 1996, 2005, copyright')]"
89,No topics found
90,"[(1, 'derechos, país, reservados, dirección, tras, 20, cinco, falta, colombia, méxico'), (2, 'minutos, dos, comercio, américa, miembro, si, tiempo, gobierno, vez, 16'), (3, 'grupo, pe, defensa, 14, españa, 13, nuevo, distribución, asobal, cuenta'), (4, 'años, año, 22, diarios, primera, parte, partido, garcía, caso, tres'), (5, '2018, equipo, local, duración, además, marcador, 21, vida, 18, nueva')]"
91,No topics found
92,No topics found
93,No topics found
94,"[(1, 'martínez, futbol, dólares, hamilton, testigo, carrillo, funcionarios, utilizar, declaró, comprar'), (2, 'tirso, millones, in, mexico, medios, involucró, tras, ciudad, revela, cártel'), (3, '2018, 10, sinaloa, fusionaron, hablando, barcos, coronel, juárez, amado, quién'), (4, 'mexicano, sánchez, dieron, reunió, and, caballos, mil, https, hoy, descriptivo'), (5, 'chapo, futbolista, diciembre, emma, keegan_hamilton, leer, piedad, the, autos, narcotraficante')]"
95,No topics found
96,No topics found
97,No topics found
98,No topics found
99,No topics found
100,No topics found
101,No topics found
102,No topics found
103,No topics found
104,No topics found
105,No topics found
106,No topics found
107,No topics found
108,"[(1, 'si, cuenta, siguiente, moderator, nacional, ciudad, caso, internacional, después, años'), (2, 'com, sputniknews, datos, nuevo, notificaciones, frente, metros, delitos, mendoza, torra'), (3, 'acceso, usuario, bloqueo, ser, gobierno, uso, comentarios, privacidad, condiciones, lula'), (4, 'política, sputnik, violación, eliminar, mensaje, restauración, reiterada, equipo, push, dirección'), (5, 'mundo, favor, moderadores, noticias, haddad, tras, cataluña, desbloqueo, sólo, suscríbase')]"
109,"[(1, 'méxico, encontrado, ir, presa, muerte, california, conocido, ciudad, zona, 2018'), (2, 'cuerpo, autoridades, fiesta, enyanche, universal, gotcha, deceso, luego, investigación, quintanar'), (3, 'abraham, lugar, estudiante, así, fiscalía, pasado, 2000, queda, edad, noviembre'), (4, 'cch, familiares, julianas, garibaldi, arma, plantel, alumno, hechos, 23, aclarar'), (5, 'naucalpan, cipreses, remedios, ayer, cuatro, compañía, exhaustiva, lesiones, golpes, colegio')]"
110,No topics found
111,"[(1, 'ad, hoyos, peña, punto, pues, heredado, cnc, deberá, juárez, valle'), (2, 'dos, ahora, campaña, teléfono, desastre, elección, propuestas, candidato, 55, miles'), (3, 'méxico, ciudad, presidencia, resulta, solucionar, gustavo, conocidas, 2000, enardecen, público'), (4, 'enrique, campo, demasiado, petrolero, alianza, ejemplo, col, walther, benito, puestas'), (5, 'insticator, presidencial, aspirante, div, información, jóvenes, salas, república, meade, nueva')]"
112,No topics found
113,"[(1, 'organizaciones, aspirante, col, necesario, así, cumplimiento, articulación, grave, nieto, campesina'), (2, 'mujeres, pues, medidas, proceso, política, flores, voluntad, importante, municipios, ciudadana'), (3, 'violencia, ciudad, género, ad, declaratoria, presidencial, heredado, benito, solucionar, teléfono'), (4, 'méxico, entidades, materia, estudio, punto, valle, elección, fresas, deberá, ahora'), (5, 'colima, avg, insticator, incluso, caso, seguimiento, conocidas, quedado, puestas, resulta')]"
114,No topics found
115,No topics found
116,No topics found
117,No topics found
118,No topics found
119,No topics found
120,No topics found
121,No topics found
122,No topics found
123,No topics found
124,No topics found
125,"[(1, 'compañía, contenidos, uso, puma, plomosas, moreno, islas, corral, dice, año'), (2, 'retransmisión, cualquier, montaña, años, animal, montañas, mujer, fauna, van, naturales'), (3, 'existir, periodística, autorización, queda, animales, ir, día, caza, corredor, biológico'), (4, 'nacional, previa, pumas, zona, hectáreas, mil, pasaba, hábitat, terreno, conocer'), (5, 'prohibida, edición, publicación, expresamente, hace, noche, equilibrio, especies, comunidades, ganado')]"
126,No topics found
127,"[(1, 'derechos, dos, ahora, soto, 30, parte, política, año, tiempo, datos'), (2, '2018, diciembre, si, mostrador, país, ser, santiago, cuenta, actions, dijo'), (3, 'puede, público, además, hoy, 14, hace, catrillanca, 13, favor, momento'), (4, 'general, vez, 12, minutos, gobierno, mismo, menos, muerte, sólo, joven'), (5, 'años, reservados, 2016, armas, cómo, carabineros, gran, dirección, justicia, interior')]"
128,No topics found
129,No topics found
130,"[(1, 'chapo, futbolista, sánchez, mexico, cártel, keegan, carrillo, muerte, fusionaron, tras'), (2, 'mexicano, millones, coronel, quién, comunicación, dieron, reunió, utilizar, emma, hablando'), (3, 'diciembre, socio, medios, pemex, comprar, piedad, gallos, https, cuatro, co'), (4, 'martínez, dólares, 2018, in, demasiada, leer, ciudad, barcos, revela, amado'), (5, 'futbol, tirso, 10, sinaloa, hamilton, fama, funcionarios, autos, drogas, compró')]"
131,No topics found
132,No topics found
133,No topics found
134,No topics found
135,No topics found
136,"[(1, 'violencia, proceso, pues, entidades, aspirante, declaratoria, través, san, luis, cabo'), (2, 'ciudad, benito, delegación, avg, organizaciones, presidencial, div, público, política, potosí'), (3, 'fresas, 5636, valle, colima, insticator, ad, género, loadad, así, caso'), (4, 'méxico, col, información, necesario, incluso, gobierno, funcionarios, voluntad, cumplimiento, articulación'), (5, '2000, 13, 03100, juárez, mujeres, medidas, garcía, materia, sociedad, solicitud')]"
137,No topics found
138,No topics found
139,"[(1, 'tres, redes, ayudar, robles, criterios, pronunció, presentes, antibalas, entregaron, ámbito'), (2, 'días, luis, discurso, periodista, normal, infantil, albert, europa, cultural, conforme'), (3, 'españa, friedman, cacho, personalidades, hoy, maría, politicos, mentido, margarita, ambas'), (4, 'josé, hernández, marlaska, sexual, amenaza, opinión, aquello, periodistas, apuntó, pueden'), (5, 'mundo, periodismo, fernando, social, acto, fuentes, agradable, ábalos, sometidas, contribuido')]"
140,No topics found
141,No topics found
142,No topics found
143,No topics found
144,"[(1, 'insticator, mujeres, público, proceso, deuda, caso, comisión, mexicana, gustavo, federal'), (2, 'benito, vida, aborto, violencia, humanos, toda, campaña, sociedad, reconocimiento, reforma'), (3, 'juárez, 03100, derecho, información, grupo, loadad, pues, sexual, permite, guzmán'), (4, 'delegación, propuesta, ad, aprobación, persona, inconstitucionalidad, aspirante, div, argumentos, ahora'), (5, 'méxico, ciudad, derechos, mujer, ley, acción, aguascalientes, panista, pleno, propuestas')]"
145,No topics found
146,No topics found
147,No topics found
148,No topics found
149,No topics found
150,No topics found
151,"[(1, 'años, cocaína, año, uso, gondar, sociedad, educación, información, unidos, pedir'), (2, 'villa, nacional, convergencia, ojeda, méxico, si, juicio, in, strambotic, comunicación'), (3, 'zambada, televisión, país, nueva, bea, pemex, mismo, 1998, públicos, asesinato'), (4, 'chapo, colombiano, guzmán, luego, señal, café, contenidos, 000, gobierno, hoy'), (5, 'cifuentes, colombia, medios, radio, dos, parte, fariña, siglo, conoció, libro')]"
152,No topics found
153,"[(1, '2018, nacional, favor, acceso, uso, ciudad, política, persona, general, indicó'), (2, 'américa, si, usuario, años, sputnik, sputniknews, conocer, mundo, modelo, poder'), (3, 'información, cuenta, goles, cruz, ser, federal, defensa, todas, eliminar, privacidad'), (4, 'méxico, monterrey, programa, terapéutica, candidato, mexicano, com, así, ejecución, aei'), (5, 'justicia, datos, final, drogas, personas, presidencial, azul, además, público, buen')]"
154,No topics found
155,No topics found
156,No topics found
157,No topics found
158,No topics found
159,"[(1, 'ir, diciembre, policías, autorización, 2000, expresamente, tomaron, conocimiento, horas, com'), (2, 'querétaro, uso, nacional, huellas, universal, sección, momento, dólares, muerte, personas'), (3, 'alan, fernando, atropellamiento, publicación, usuario, existir, prohibida, sólo, hallazgo, pirotecnia'), (4, 'joven, cuerpo, autopista, pasado, tlalnepantla, tres, autoridades, presentaba, justicia, tequisquiapan'), (5, 'méxico, 2018, derechos, protección, reservados, queda, periodística, retransmisión, cualquier, contenidos')]"
160,"[(1, 'contenidos, felino, visto, tierra, puesto, seis, pasaba, supieron, caballos, preservar'), (2, 'compañía, periodística, retransmisión, publicación, autorización, zona, fauna, dice, corral, 23'), (3, 'edición, queda, previa, uso, años, animal, hace, montañas, presa, caza'), (4, 'prohibida, nacional, puma, pumas, plomosas, noche, mujer, islas, ir, pasado'), (5, 'existir, cualquier, expresamente, montaña, animales, moreno, equilibrio, día, van, confirmó')]"
161,No topics found
162,No topics found
163,No topics found
164,"[(1, 'deformantes, pies, llaven, árbol, protección, ad, violaciones, aspirante, pública, campaña'), (2, 'manos, méxico, luis, públicos, población, prevención, civil, ciudad, realizar, autoridades'), (3, 'humanos, insticator, fiscal, organismos, arbitrarias, detenciones, mercados, venta, implementar, comerciales'), (4, 'derechos, chiapas, pirotecnia, estrategias, actos, alto, conocimiento, manejo, recomendaciones, ayuntamientos'), (5, 'abarca, accidentes, jorge, tortura, general, privados, municipales, entrar, presidencial, mal')]"
165,No topics found
166,No topics found
167,No topics found
168,No topics found
169,No topics found
170,No topics found
171,No topics found
172,No topics found
173,"[(1, 'méxico, 2018, ciudad, programa, prohibida, derechos, animal, joaquín, previa, alimenticia'), (2, 'años, datos, equilibrio, publicación, así, futbol, información, proceso, sección, repoblar'), (3, 'justicia, montaña, pumas, dólares, insticator, terapéutica, nacional, cadena, compañía, ad'), (4, 'drogas, félix, uso, cuenta, 2000, si, usuario, millones, autorización, fin'), (5, 'puma, ir, chapo, general, juárez, ser, queda, favor, martínez, portada')]"
174,"[(1, 'hospital, ocurridos, tlatelolco, interior, saldívar, autoridades, confirmó, secretario, arbitraje, salud'), (2, 'fotos, quinceañera, luce, saborean, presidencial, amanda, tips, toma, hace, maestra'), (3, 'elise, inéditas, alizée, rojo, sensuales, avión, américa, cruz, 50, venta'), (4, 'años, fitness, milagro, memes, vuelve, proceso, sexual, atender, manera, ocurrió'), (5, 'menor, así, pinos, golean, falta, atención, mala, estudios, misma, continuaban')]"
175,No topics found
176,No topics found
177,No topics found
178,"[(1, 'graco, montero, fiscal, calle, policías, mujeres, abatido, homicidios, víctimas, diez'), (2, 'ramírez, ladrón, administración, fiscales, así, años, radio, gobernador, pececillo, conductora'), (3, 'general, presunto, esposa, arma, redes, sociales, robando, aviso, ciento, 98'), (4, 'jornada, mujer, fotos, seguridad, hechos, jiménez, 2018, carlos, cuernavaca, derechos'), (5, 'justicia, tras, morelos, cuerpo, zona, imagen, embargo, hombre, medios, ambos')]"
179,No topics found
180,No topics found
181,No topics found
182,No topics found
183,No topics found
184,"[(1, 'luce, así, ladrón, carlos, urzúa, roba, deceso, pinos, peritos, remedios'), (2, 'interior, tras, esposa, imagen, años, redes, abatido, arma, robando, elise'), (3, 'venta, fotos, embargo, sociales, capitalina, ocurridos, crucero, abraza, hechos, verificar'), (4, 'avión, presunto, zona, hombre, policías, jiménez, secretario, inéditas, adolescente, luna'), (5, 'presidencial, fitness, proceso, mujer, calle, cuerpo, milagro, secu, hace, confirmar')]"
185,No topics found
186,No topics found
187,No topics found
188,No topics found
189,No topics found
190,"[(1, 'juárez, sinaloa, justicia, children, unidos, hace, comentarios, derecho, datos, dinero'), (2, 'armas, actions, si, ser, 2018, cuenta, guzmán, aquí, usuario, pasado'), (3, 'comment, años, beriain, ciudad, tras, general, félix, dmax, mujer, programa'), (4, 'chapo, cartel, puma, tráfico, además, montaña, nacional, eeuu, droga, seguridad'), (5, 'méxico, drogas, dólares, dos, público, mil, cifuentes, millones, uso, nueva')]"
191,No topics found
192,No topics found
193,No topics found
194,No topics found
195,No topics found
196,No topics found
197,No topics found
198,No topics found
199,"[(1, 'país, personas, armas, si, tres, ciudad, frontera, mercado, parte, presidente'), (2, 'años, terrorista, policía, fuerzas, unidos, hace, cuatro, ser, millones, vez'), (3, 'estrasburgo, ataque, tras, gobierno, según, miércoles, autor, alemania, martes, venezuela'), (4, 'francia, seguridad, dijo, actions, sospechoso, mundo, 000, dubái, autoridades, 2018'), (5, 'dos, latifa, aquí, año, tiroteo, méxico, prisión, aunque, españa, tiina')]"
200,No topics found
201,No topics found
202,No topics found
203,No topics found
204,No topics found
205,"[(1, 'gobierno, así, insticator, mercados, ad, arturo, hospital, sexual, comerciantes, información'), (2, 'años, autoridades, fotos, hace, derecho, género, guerrero, derechos, interior, guzmán'), (3, 'méxico, jornada, ciudad, mujeres, proceso, calle, caso, pesos, público, investigaciones'), (4, 'presidencial, menor, violencia, prisión, ser, legal, mexicanas, tamaulipas, grupos, javier'), (5, 'veracruz, bermúdez, pues, justicia, duarte, si, seguridad, días, secretario, medios')]"
206,No topics found
207,"[(1, 'manuel, años, ser, div, jalisco, cocaína, dinero, san, joaquín, primera'), (2, 'valle, guzmán, señor, loadad, federal, actos, declaró, culpable, octubre, fecha'), (3, 'méxico, félix, ad, pues, aspirante, información, proceso, nueva, semanario, corte'), (4, '03100, benito, insticator, víctor, vic, sistema, presidencial, drogas, público, municipios'), (5, 'ciudad, juárez, delegación, unidos, chapo, beltrán, ecuador, toro, c5, tener')]"
208,No topics found
209,No topics found
210,No topics found
211,No topics found
212,No topics found
213,"[(1, 'existir, nacional, prohibida, publicación, autorización, policías, querétaro, supuestos, muerte, instituto'), (2, 'expresamente, méxico, joven, fernando, diciembre, tlalnepantla, misma, hallado, pesos, despojaron'), (3, 'compañía, retransmisión, previa, queda, contenidos, universal, atropellamiento, huellas, tres, presentaba'), (4, 'periodística, uso, cualquier, pasado, fiscalía, localizar, espectáculos, llevaron, liberaron, conocimiento'), (5, 'edición, alan, autopista, cuerpo, ir, patrulla, justicia, ingeniería, tecnológico, compañero')]"
214,No topics found
215,No topics found
216,No topics found
217,No topics found
218,"[(1, 'ciudad, policía, gobierno, interior, aunque, así, hombre, público, local, fuerzas'), (2, 'años, según, actions, ataque, 2018, tres, mercado, derechos, atentado, 13'), (3, 'pasado, comment, autor, miércoles, 12, ser, cuatro, castaner, prisión, 22'), (4, 'personas, terrorista, antiterrorista, país, seguridad, méxico, si, 20, martes, parte'), (5, 'estrasburgo, dos, francia, centro, tras, sido, tiroteo, children, información, después')]"
219,"[(1, 'luce, interior, ladrón, policías, imagen, años, inéditas, abraza, alumnos, memes'), (2, 'proceso, presidencial, hombre, redes, arma, carlos, robando, viaje, secretario, toma'), (3, 'venta, fitness, presunto, tras, zona, esposa, cruzar, conductora, ratifican, sexual'), (4, 'así, mujer, cuerpo, sociales, calle, jiménez, moe, secu, quinceañera, tlatelolco'), (5, 'avión, fotos, embargo, abatido, existía, milagro, perros, saborean, esperan, mujeres')]"
220,No topics found
221,No topics found
222,No topics found
223,No topics found
224,"[(1, 'guadalajara, dos, 19, hombrados, derechos, carou, municipio, liga, civil, marqués'), (2, 'quabit, 20, david, trabajo, 21, mujer, partido, protección, capilla, pirotecnia'), (3, 'reservados, ir, mellado, abanca, león, equipo, 11, nacional, estudiantes, lanzamiento'), (4, 'ademar, 14, defensa, universal, 25, minutos, 22, diciembre, tequisquiapan, pesic'), (5, '16, graciela, 2018, municipal, 23, asobal, autoridades, gonzalo, 13, incidencias')]"
225,No topics found
226,No topics found
227,No topics found
228,"[(1, 'children, si, dmax, mil, medio, uso, segunda, nacional, manos, sino'), (2, 'comment, beriain, cartel, eeuu, unidos, derecho, aquí, clandestino, parto, droga'), (3, 'actions, david, cry, cabrea, sleep, dizzy, millones, love, narcos, tras'), (4, 'armas, sinaloa, dos, entristece, mute, laugh, encanta, ahora, vez, además'), (5, 'dólares, sólo, entrega, aburrimiento, pout, palabras, comentarios, tráfico, flipo, comunidad')]"
229,No topics found
230,No topics found
231,"[(1, 'insticator, ad, municipio, 55, miles, solucionar, materia, mexicana, teléfono, oradores'), (2, 'ciudad, kobel, presidencial, lara, priista, campesina, antorcha, corporativismo, deberá, puestas'), (3, 'méxico, aspirante, prácticas, sindicato, cortas, ejemplo, conocidas, punto, grave, 13'), (4, 'juárez, alcaldesa, candidato, enardecen, enrique, acarreados, 2000, afirma, delegación, 5636'), (5, 'explanadas, walther, propuestas, peña, campaña, heredado, nieto, desastre, auditorios, benito')]"
232,No topics found
233,No topics found
234,No topics found
235,No topics found
236,No topics found
237,No topics found
238,No topics found
239,"[(1, 'dijo, personas, estrasburgo, sido, soldados, tiroteo, proceso, filminlatino, amo, cruzar'), (2, 'navideño, fritz, dos, sindicato, morisee, caseros, milenio, milagro, sensuales, pide'), (3, 'interior, martes, conspiración, escuché, dijeron, mira, disparos, centro, cerca, francia'), (4, 'mercado, fotos, diez, presidencial, años, cierre, gritos, luego, tips, tardarse'), (5, 'atacante, ataque, castaner, agentes, ciudad, cuatro, recuerdos, vuelve, secu, venta')]"
240,"[(1, 'barcos, mexico, revela, cártel, juárez, keegan_hamilton, medios, keegan, comunicación, ciudad'), (2, 'futbol, futbolista, millones, 2018, sinaloa, socio, emma, carrillo, funcionarios, quién'), (3, 'chapo, dólares, diciembre, in, dieron, coronel, amado, hablando, utilizar, comprar'), (4, 'martínez, tirso, sánchez, hamilton, testigo, muerte, tras, autos, and, mil'), (5, 'mexicano, 10, pemex, fama, reunió, demasiada, fusionaron, leer, involucró, piedad')]"
241,No topics found
242,No topics found
243,No topics found
244,No topics found
245,No topics found
246,No topics found
247,"[(1, '2019, 15, mujeres, gobierno, vez, española, alfombra, 11, colima, parlamento'), (2, '01, si, maloma, secuestro, años, serie, méxico, día, días, derechos'), (3, 'actriz, morales, violencia, 2018, frente, ciudadana, comentar, roja, así, historia'), (4, 'temporada, sido, mejor, vida, padres, mundo, lola, europeo, josé, story'), (5, 'carmen, 18, españa, caso, thelma, país, the, sánchez, parte, avg')]"
248,No topics found
249,No topics found
250,No topics found
251,No topics found
252,No topics found
